Year,Action Type,Details,Capital Cost (EUR),Operating Cost (EUR),Location X,Location Y,Generator Type,Power Output (MW),Efficiency,CO2 Output (tonnes),Operation Percentage,Lifespan (years),Previous State,Impact Description
2026,Add Generator,"GasCombinedCycle",1020000000.00,102000.00,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2027,Add Generator,"OnshoreWind",940900.00,47045.00,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2027,Add Generator,"GasCombinedCycle",1040400000.00,104040.00,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2027,Add Generator,"GasCombinedCycle",1040400000.00,104040.00,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2027,Add Generator,"PumpedStorage",2040200000.00,40804.00,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2027,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2027,Add Generator,"UtilitySolar",846400.00,12696.00,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2027,Add Generator,"OnshoreWind",940900.00,47045.00,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2027,Add Generator,"Biomass",768320000.00,115248.00,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2027,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2028,Add Generator,"OnshoreWind",912673.00,45633.65,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2028,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2028,Add Generator,"BatteryStorage",364500000.00,7290000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2028,Add Generator,"BatteryStorage",364500000.00,7290000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2028,Add Generator,"GasPeaker",530604000.00,84896.64,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2028,Add Generator,"OffshoreWind",1714750.00,85737.50,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2028,Add Generator,"GasCombinedCycle",1061208000.00,106120.80,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2028,Add Generator,"HydroDam",3045225375.00,60904.51,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2028,Add Generator,"Nuclear",5151505000.00,257575.25,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2029,Add Generator,"WaveEnergy",599695360.00,149923.84,0.0,0.0,"WaveEnergy",100.00,1.040,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2029,Add Generator,"CoalPlant",2339717120.00,175478.78,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2029,Add Generator,"OnshoreWind",885292.81,44264.64,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2029,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2029,Add Generator,"BatteryStorage",328050000.00,6561000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2029,Add Generator,"TidalGenerator",984150000.00,131220.00,0.0,0.0,"TidalGenerator",200.00,1.040,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2029,Add Generator,"OffshoreWind",1629012.50,81450.62,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2029,Add Generator,"WaveEnergy",599695360.00,149923.84,0.0,0.0,"WaveEnergy",100.00,1.040,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2029,Add Generator,"Biomass",737894528.00,110684.18,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2029,Add Generator,"BatteryStorage",328050000.00,6561000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2030,Add Generator,"OffshoreWind",1547561.87,77378.09,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2030,Add Generator,"BatteryStorage",295245000.00,5904900.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2030,Add Generator,"OffshoreWind",1547561.87,77378.09,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2030,Add Generator,"WaveEnergy",527731916.80,131932.98,0.0,0.0,"WaveEnergy",100.00,1.050,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2030,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2030,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2030,Add Generator,"OnshoreWind",858734.03,42936.70,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2030,Add Generator,"DomesticSolar",6956.88,139.14,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2030,Add Generator,"OnshoreWind",858734.03,42936.70,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2030,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2031,Add Generator,"UtilitySolar",606355.00,9095.33,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2031,Add Generator,"Biomass",708673904.69,106301.09,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2031,Add Generator,"OnshoreWind",832972.00,41648.60,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2031,Add Generator,"WaveEnergy",464404086.78,116101.02,0.0,0.0,"WaveEnergy",100.00,1.060,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2031,Add Generator,"OnshoreWind",832972.00,41648.60,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2031,Add Generator,"UtilitySolar",606355.00,9095.33,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2031,Add Generator,"OffshoreWind",1470183.78,73509.19,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2031,Add Generator,"GasPeaker",563081209.63,90092.99,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2031,Add Generator,"Biomass",708673904.69,106301.09,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2031,Add Generator,"Biomass",708673904.69,106301.09,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2032,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2032,Add Generator,"WaveEnergy",408675596.37,102168.90,0.0,0.0,"WaveEnergy",100.00,1.070,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2032,Add Generator,"TidalGenerator",717445350.00,95659.38,0.0,0.0,"TidalGenerator",200.00,1.070,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2032,Add Generator,"GasPeaker",574342833.82,91894.85,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2032,Add Generator,"CommercialSolar",60170.09,12034.02,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2032,Add Generator,"UtilitySolar",557846.60,8367.70,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2032,Add Generator,"DomesticSolar",6017.01,120.34,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2032,Add Generator,"OffshoreWind",1396674.59,69833.73,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2032,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2032,Add Generator,"UtilitySolar",557846.60,8367.70,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2033,Add Generator,"Nuclear",5414283528.14,270714.18,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2033,Add Generator,"PumpedStorage",2165713411.26,43314.27,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2033,Add Generator,"BatteryStorage",215233605.00,4304672.10,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2033,Add Generator,"DomesticSolar",5595.82,111.92,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2033,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2033,Add Generator,"Biomass",680610418.07,102091.56,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2033,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2033,Add Generator,"CoalPlant",2737138100.81,205285.36,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2033,Add Generator,"OffshoreWind",1326840.86,66342.04,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2034,Add Generator,"BatteryStorage",193710244.50,3874204.89,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2034,Add Generator,"Biomass",666998209.70,100049.73,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2034,Add Generator,"DomesticSolar",5204.11,104.08,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2034,Add Generator,"UtilitySolar",472161.36,7082.42,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2034,Add Generator,"UtilitySolar",472161.36,7082.42,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2034,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2034,Add Generator,"HydroDam",3137731737.44,62754.63,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
